,job_title,employment,edu_level,job_family
360,stocker,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
361,out of work,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
362,student,a student,"some college, no degree",None
363,student,a student,"some college, no degree",None
364,developer,out of work but not currently looking for work,bachelor’s degree,Computer and Mathematical
365,stocker,employed for wages,"some college, no degree",None
366,waiter,employed for wages,"some high school, no diploma",None
367,finance student,a student,master’s degree,None
368,not telling,employed for wages,bachelor’s degree,None
369,tutor,out of work and looking for work,associate degree,None
370,unemployed,out of work and looking for work,"some college, no degree",None
371,None,a student,"some high school, no diploma",None
372,None,out of work but not currently looking for work,trade/technical/vocational training,None
373,consultant,employed for wages,"some college, no degree",None
374,analyst,employed for wages,bachelor’s degree,Business and Financial Operations
375,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
376,carer,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
377,i'm a student,a student,"some high school, no diploma",None
378,none,a student,"some high school, no diploma",None
379,na,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
380,student,a student,"some college, no degree",None
381,real estate,self-employed,master’s degree,Sales and Related
382,operations executive,employed for wages,bachelor’s degree,None
383,student,a student,bachelor’s degree,None
384,law (enforcement) officer,a student,"high school graduate, diploma or the equivalent (for example: ged)",Protective Service
385,nothing,out of work and looking for work,"some college, no degree",None
386,nothing,out of work and looking for work,"some college, no degree",None
387,nothing,a student,"some high school, no diploma",None
388,none,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
389,cashier,employed for wages,"some college, no degree",Sales and Related
390,consultant,employed for wages,master’s degree,None
391,no job,a student,"some college, no degree",None
392,student employee,a student,"some college, no degree",None
393,usher,employed for wages,"some college, no degree",None
394,part time paperboy,employed for wages,"some college, no degree",None
395,principal software engineer,employed for wages,"some college, no degree",Architecture and Engineering
396,j,out of work and looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
397,business representative (have in mind that i am from poland),a student,"some college, no degree",Business and Financial Operations
398,student,a student,"some high school, no diploma",None
399,none,a student,bachelor’s degree,None
400,no,out of work but not currently looking for work,"some high school, no diploma",None
401,software engineer,employed for wages,bachelor’s degree,Architecture and Engineering
402,student (comp sci),a student,bachelor’s degree,None
403,production engineer,employed for wages,master’s degree,Architecture and Engineering
404,none,a student,"some college, no degree",None
405,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
406,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
407,audit associate,employed for wages,professional degree,None
408,2nd lieutenant,military,master’s degree,None
409,not disclosing this,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
410,none,out of work but not currently looking for work,"some high school, no diploma",None
411,None,out of work but not currently looking for work,"some college, no degree",None
412,waitress,a student,"some high school, no diploma",None
413,software developer,employed for wages,"some college, no degree",Computer and Mathematical
414,artist,self-employed,bachelor’s degree,"Arts, Design, Entertainment, Sports, and Media"
415,auditor,a student,master’s degree,Business and Financial Operations
416,unemployed,out of work but not currently looking for work,"some high school, no diploma",None
417,why is this obligatory?,out of work but not currently looking for work,"some high school, no diploma",None
418,software developer,self-employed,"some college, no degree",Computer and Mathematical
419,high school senior,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
420,student / parttime web developer,a student,"high school graduate, diploma or the equivalent (for example: ged)",Computer and Mathematical
421,none,a homemaker,"some college, no degree",None
422,none,out of work but not currently looking for work,"some high school, no diploma",None
423,disabled,unable to work,"some high school, no diploma",None
424,admin,employed for wages,"some college, no degree",None
425,student,a student,"some high school, no diploma",None
426,unemployed,out of work and looking for work,"some college, no degree",None
427,none,a student,"some college, no degree",None
428,freight broker,employed for wages,associate degree,Office and Administrative Support
429,coordinator,employed for wages,"some college, no degree",Management
430,research assistant,a student,"some college, no degree",Healthcare Support
431,freelance technical theatre,self-employed,"some college, no degree","Arts, Design, Entertainment, Sports, and Media"
432,retail associate,employed for wages,associate degree,None
433,it,employed for wages,"some college, no degree",None
434,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
436,technician,employed for wages,associate degree,"Life, Physical, and Social Science"
437,transport,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
438,none,out of work but not currently looking for work,"some high school, no diploma",None
439,cleaner,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
440,i don't have a job,a student,bachelor’s degree,None
441,marketing,self-employed,"high school graduate, diploma or the equivalent (for example: ged)",Computer and Mathematical
442,na,a student,"some high school, no diploma",None
443,screener,employed for wages,"some college, no degree",None
444,student,a student,"some college, no degree",None
445,🌚,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
